current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
51,15061,2.8051222326429808,0.39476576019653975,0.1096,0.917654223361657,7,14.272373540856032,10.525,30,0.40663806854673407,11,5,46.305454545454545,3.021055126083017,0.5069898095343681,15,86,6066,0.9956177899788871,0.2619185873071082,4,2120,4358,2.9753572645532884,0.5055331473854711,11,73,2987,0.0,0.24091336425582127,0,0.0,1650,127.0,60.0,31552.014872768286,0.0013963455214373258,2.0949482021624224
52,15055,2.806832094639176,0.39455831968611776,0.109,1.1454240438072791,7,14.188976377952756,11.025,26,0.4066361811705729,10,1,47.36989640463132,3.0217533991929675,0.5070889061869623,11,63,6068,0.9959081568712108,0.262038693766805,5,3032,4360,2.974501300020591,0.5055398327064189,10,87,2986,0.0,0.23940376568912286,0,0.0,1641,127.0,66.0,31560.020072122927,0.0011977548626001238,2.096314850356884
53,15057,2.8064797644674084,0.394648309402012,0.1089,0.9258319710658622,7,14.866396761133604,11.692982456140351,23,0.40660209887699644,6,1,48.332926829268295,3.0216899028992934,0.5071683841235034,9,54,6068,0.9955931258732843,0.2621786286116326,3,2065,4363,2.974643098533965,0.5055716710029576,11,87,2986,0.0,0.23852907419642155,0,0.0,1640,121.0,70.0,31561.671431200506,0.0016128681335905116,2.0961460736667643
54,15049,2.8066831515746653,0.394848491321596,0.1094,0.7244929949522771,4,14.91764705882353,11.24793388429752,20,0.40676340070430933,5,0,49.05100182149363,3.0230212578371836,0.5072670602377588,9,77,6064,0.9956473558913606,0.2621743959876779,0,0.0,4353,2.974424821717884,0.5058031887612477,11,64,2985,0.0,0.23937298101438678,0,0.0,1647,125.0,67.0,31544.311940547694,0.0028793140530329305,2.0961068470029676
55,15061,2.8073711571384306,0.3945409832517157,0.1094,0.7026579593798605,10,14.083333333333334,10.897435897435898,35,0.40707913973158033,15,10,49.78870673952641,3.022888726707383,0.5075850877805637,13,79,6066,0.9955873142038918,0.2626125818707449,10,3975,4358,2.9743398429813066,0.5062732744196304,12,70,2990,0.0,0.2390923246587929,0,0.0,1647,127.0,76.0,31568.888662021694,0.0029952368741776396,2.096068565302547
56,15051,2.810322105610586,0.3942423790362572,0.109,0.73159153825463,4,13.33739837398374,10.811475409836065,23,0.40711975197660843,15,0,50.74207317073171,3.0245309174206403,0.5076948721104534,11,97,6065,0.9960161972513087,0.26275860943441376,5,3297,4358,2.975083753265577,0.5063204733735843,7,56,2988,0.0,0.23805023981377346,0,0.0,1640,126.0,71.0,31573.968856534968,0.0028209592833470937,2.0977987413816312
57,15053,2.8133028523493997,0.3939518088798399,0.1084,0.8793323484928979,9,13.229166666666666,11.321739130434782,26,0.4072318115315489,13,0,51.91109748620478,3.025726280426617,0.5078486415051905,12,85,6070,0.9960354398528767,0.26304098594839276,5,3025,4362,2.9763898789866357,0.5063790204263835,9,59,2990,0.0,0.23664080519075667,0,0.0,1631,124.0,84.0,31610.27084899789,0.0021995457385592804,2.0999316315018834
58,15061,2.812799903071234,0.3943269983420732,0.109,0.9857176853519564,7,13.908333333333333,11.842105263157896,15,0.40733452177628215,6,4,52.5584652862363,3.025768045173884,0.5079791897527478,7,50,6071,0.9957105438692422,0.26300257599882876,1,1067,4356,2.977646383414306,0.5066745416346173,7,79,2992,0.0,0.2370975163593057,0,0.0,1642,121.0,76.0,31615.87091052071,0.0018331620811817485,2.099188029381892
59,15062,2.8128229503625453,0.39418625891178627,0.1086,0.8533373489840314,5,13.94273127753304,12.445454545454545,18,0.40741919010444994,13,0,53.596330275229356,3.0253793683986117,0.5081525586790512,6,103,6072,0.9953129086205983,0.2633278090411921,7,4664,4363,2.977640996907652,0.5067130232233625,5,37,2992,0.0,0.23612287995290743,0,0.0,1635,116.0,64.0,31621.755607975767,0.0024438678260833863,2.0994393578525914
60,15042,2.8094797322490312,0.39471071614216613,0.11,0.76980607719032,9,13.26271186440678,10.991803278688524,10,0.40756174817135327,3,0,53.8180169286578,3.0265936723789353,0.5083041317739493,5,138,6055,0.9950040207233333,0.2634522864678446,0,0.0,4349,2.9778559992786207,0.5067547177691616,5,0,2984,0.0,0.2387256508043522,0,0.0,1654,131.0,72.0,31539.21947422768,0.002906805617317101,2.0967437491176457
