current_step,population,hh_income,gini,unemployment,housing_price_indexes,n_matching_housing,tom_buy,tom_sell,total_posted_jobs,skill,n_matching_labour,recruit_outside,tom_labour,person_income_old,skill_old,n_posted_jobs_old,n_applicants_old,n_workers_old,person_income_service,skill_service,n_posted_jobs_service,n_applicants_service,n_workers_service,person_income_new,skill_new,n_posted_jobs_new,n_applicants_new,n_workers_new,person_income_unemployed,skill_unemployed,n_posted_jobs_unemployed,n_applicants_unemployed,n_workers_unemployed,n_houses_for_sale,n_bids,gdp,wealth_gini,person_income
45,15037,2.838572961838183,0.39421139525105015,0.1043,1.088600357863215,9,12.833333333333334,10.761363636363637,19,0.40683190619251186,7,4,41.65519439133206,3.0326354276991863,0.5064490771081211,10,66,6028,0.9989519073749568,0.26205066131099053,1,801,4405,3.0215873787904033,0.5046891044795555,8,45,3035,0.0,0.24129492762185023,0,0.0,1569,97.0,83.0,31851.627204786077,0.0011211307261841945,2.118216878684994
46,15041,2.840572071482443,0.3939662586506051,0.1038,1.077217599503642,5,13.383399209486166,10.566666666666666,22,0.407017677052518,12,4,42.68886043533931,3.0332211833060407,0.5067714013231654,9,42,6032,0.9983279628179402,0.2622859145738132,5,3284,4410,3.0229581378064867,0.5048014478021549,8,66,3037,0.0,0.24029763605629262,0,0.0,1562,95.0,79.0,31879.740358247287,0.0011623720127392073,2.1195226619405263
47,15049,2.8397162745494433,0.394263960732149,0.1044,0.8798293872588219,8,13.845528455284553,10.63953488372093,11,0.4071181620549925,4,0,43.44112030553787,3.0331989051490296,0.5068904102361725,5,42,6032,0.9981429173631707,0.26226181794466225,0,0.0,4407,3.0228440216150574,0.5049629067759942,6,60,3039,0.0,0.24111276947588545,0,0.0,1571,94.0,79.0,31881.49461436643,0.0020825426651800874,2.118512500124035
48,15034,2.8394935528812777,0.39454100602382597,0.1044,1.1421617382910536,7,13.785714285714286,10.12087912087912,12,0.40725921261241843,8,1,44.314649681528664,3.0328769872124584,0.5070227085464772,5,42,6025,0.9980078985017475,0.2624880407131265,3,3833,4401,3.0234636515497155,0.5052503463317038,4,60,3038,0.0,0.24061322553400386,0,0.0,1570,98.0,79.0,31850.599182669117,0.0012775364003756423,2.118571184160522
49,15034,2.8410001573274615,0.39453879509180756,0.104,0.9048387012552445,5,13.8125,10.326086956521738,26,0.40724965229275895,18,0,45.290467050543825,3.032916608955307,0.5071425861062836,12,75,6029,0.9979135126901109,0.26286488763652605,9,4255,4407,3.024236467417006,0.505279551241133,5,30,3035,0.0,0.23868178061647172,0,0.0,1563,97.0,77.0,31861.816764427305,0.002299967538441911,2.1193173316766982
50,15039,2.8402569724757414,0.3946718717302809,0.1044,0.9882696574201456,8,14.012244897959183,10.075268817204302,19,0.40732274430077736,10,2,45.96305732484076,3.0334198321375623,0.5072213199947522,8,73,6027,0.9981453087465809,0.26295699488877333,3,2473,4407,3.0240246314072867,0.5054430631911356,8,26,3035,0.0,0.23938387431280123,0,0.0,1570,101.0,88.0,31859.162460260202,0.0020268480801547864,2.118436229819828
51,15032,2.8419224100343405,0.39432160392931825,0.104,0.698814154347836,2,14.25206611570248,10.505376344086022,21,0.40734087481960635,10,0,47.00127959053103,3.0334799309531846,0.5072982073200099,10,43,6027,0.9982189062633785,0.263074884267829,3,2185,4407,3.024335378957972,0.5054900727410061,8,71,3035,0.0,0.23808595587546236,0,0.0,1563,95.0,77.0,31860.792138894805,0.003477789252471735,2.1195311428216472
52,15033,2.8416521328118534,0.3944122402781995,0.1042,0.9428507890076663,6,14.28099173553719,9.83673469387755,21,0.40746024819214144,9,5,47.87931034482759,3.0328532585495127,0.5074564566914829,10,34,6030,0.9982933724358622,0.26317351439567305,3,2175,4403,3.024724075543123,0.505585688969847,8,65,3034,0.0,0.23798691762717514,0,0.0,1566,104.0,90.0,31860.60371308631,0.002576425157385726,2.119377616782179
53,15034,2.843376076458566,0.39420832055961613,0.1037,0.9494107906227386,3,15.025423728813559,10.56842105263158,23,0.40748311096431256,13,0,48.88646568313021,3.0331567329354754,0.5075541981718006,7,40,6032,0.9989056880991966,0.2635086675324046,7,4008,4408,3.024960422749718,0.5056161071218634,9,62,3035,0.0,0.23633295398811968,0,0.0,1559,98.0,98.0,31879.932569253255,0.002547133147305772,2.120522320689999
54,15031,2.8420582573246524,0.39436692653616157,0.1041,1.0651108567425147,9,15.004081632653062,10.105263157894736,15,0.40760926657508395,4,5,49.545047923322684,3.0332580648518204,0.5076386147735714,5,41,6025,0.9991315704629746,0.26338741892585843,2,2055,4404,3.0240098082180413,0.5060260596204473,8,46,3037,0.0,0.23737565230833219,0,0.0,1565,105.0,100.0,31859.473064609167,0.0021314783182514135,2.119584396554411
55,15036,2.842986045409567,0.3941313620328756,0.104,1.1049136931856756,10,14.879828326180258,11.011494252873563,24,0.4076283216362123,13,3,50.48176583493282,3.0340371409494717,0.5077640061373079,12,56,6029,0.9994425675424078,0.26365151226787276,6,3490,4407,3.024198944774161,0.5061143966340609,6,52,3037,0.0,0.2359620051043508,0,0.0,1563,97.0,86.0,31881.24551322269,0.00204472991116821,2.120327581352945
56,15029,2.843606664303874,0.3942758582413422,0.1039,0.9767993956843389,6,14.838842975206612,10.48314606741573,17,0.4076613759714848,10,1,51.414477898782835,3.034417649144253,0.5079523902443094,8,51,6027,0.9995244306927877,0.26378230451919227,3,2734,4407,3.0240476431766603,0.5061469241858552,6,57,3034,0.0,0.2352180521954047,0,0.0,1561,95.0,80.0,31868.299886853314,0.0025611973420285655,2.1204537818120643
57,15029,2.8456577427118557,0.39393757311686445,0.1035,0.8663381170978548,6,15.008620689655173,10.797619047619047,22,0.40774950153948264,9,1,52.45822622107969,3.0350725376682286,0.5080821288955182,10,56,6029,0.9995633661646134,0.2639269873837745,3,2079,4408,3.025004287606615,0.5062287978296877,9,40,3036,0.0,0.23427976409202797,0,0.0,1556,90.0,83.0,31888.440664828846,0.0031532931771550404,2.1217939094303713
58,15031,2.8459759952645967,0.3941482821019983,0.1037,0.9209025836613464,10,15.497777777777777,11.236842105263158,17,0.4077834947597797,8,0,53.33568677792041,3.035592028664958,0.5082160208494297,8,58,6030,0.9990242509670907,0.2638758625764005,2,1814,4407,3.0252592872442037,0.5062781832036205,7,35,3036,0.0,0.23420385971232244,0,0.0,1558,86.0,84.0,31892.007002934864,0.00286387277257701,2.1217488525670327
59,15032,2.8478450976377805,0.39403908131193677,0.1033,0.8339140914349144,8,15.948598130841122,11.2,17,0.40790587011058693,9,3,54.41339343206697,3.035993362758686,0.508397892666875,7,55,6032,0.9989910699257286,0.2639586868265181,3,2702,4407,3.0263599999682653,0.5064568916751757,7,38,3040,0.0,0.23315522691484428,0,0.0,1553,78.0,74.0,31915.800009226405,0.003349398062672878,2.123190527489796
60,15021,2.845445510585922,0.3942484717824988,0.1037,0.9608924707662458,10,15.167381974248928,10.48611111111111,11,0.40791121185788015,7,0,55.01669877970456,3.0349225284099224,0.5083776356071439,5,28,6022,0.9987140442940066,0.2640146155445606,3,4178,4406,3.02684674828979,0.5064586913384145,3,44,3036,0.0,0.2343784256250715,0,0.0,1557,82.0,71.0,31866.144273051537,0.0027530415849316044,2.1214396027595863
61,15019,2.849358705610705,0.3936993991228581,0.103,1.1382998363557084,6,15.451612903225806,11.117647058823529,26,0.4079788807688904,16,1,56.224951519069165,3.036197573855594,0.5084693105201455,15,53,6031,0.9987846134613871,0.2642017076881042,4,2334,4404,3.028371346665011,0.5065246226925368,7,52,3037,0.0,0.23205998626071184,0,0.0,1547,74.0,72.0,31907.118785428465,0.0023306606056284515,2.1244502820047058
62,15029,2.8506190643106533,0.3934669391536942,0.1028,0.9344607171428473,4,15.36448598130841,11.446153846153846,18,0.40809278967730955,11,3,57.06666666666667,3.03663618945675,0.5086299261854071,6,46,6034,0.9991981352453922,0.2644466707556614,6,4199,4409,3.028546087161327,0.5067497730126898,6,29,3041,0.0,0.23118584489594654,0,0.0,1545,69.0,73.0,31938.335996536345,0.0031708308530594793,2.1251138463328605
